City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
78,Progreso,MX,21.2833,-89.6667,88.11,67,99,7.78,overcast clouds
79,Avarua,CK,-21.2078,-159.775,68.05,88,75,3.44,broken clouds
80,Khatanga,RU,71.9667,102.5,60.67,88,93,9.04,overcast clouds
81,Lata,PT,40.1629,-8.3327,81.05,44,4,11.97,clear sky
82,Wagar,SD,16.1525,36.2032,75.58,85,100,14.88,overcast clouds
83,Ushuaia,AR,-54.8,-68.3,37.06,81,20,5.75,few clouds
84,Mataura,NZ,-46.1927,168.8643,39.47,92,93,4.03,overcast clouds
85,Hobart,AU,-42.8794,147.3294,45.27,84,99,1.01,overcast clouds
86,Kumluca,TR,36.3703,30.2869,86.65,53,9,7.99,clear sky
87,Kavaratti,IN,10.5669,72.642,81.97,83,15,19.26,few clouds
88,Narsaq,GL,60.9167,-46.05,44.46,94,100,5.91,light rain
89,Geraldton,AU,-28.7667,114.6,54.01,94,40,6.91,scattered clouds
90,Carnarvon,AU,-24.8667,113.6333,66.38,67,100,12.73,overcast clouds
91,Upernavik,GL,72.7868,-56.1549,39.04,91,99,7.29,overcast clouds
92,Anadyr,RU,64.75,177.4833,55.9,100,90,4.0,light rain
93,Poya,NC,-21.35,165.15,66.87,90,0,1.05,clear sky
94,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,9.22,few clouds
95,Tasiilaq,GL,65.6145,-37.6368,38.3,97,100,2.77,light rain
96,Chokurdakh,RU,70.6333,147.9167,33.91,95,18,11.63,few clouds
97,Hilo,US,19.7297,-155.09,74.8,94,90,0.0,light rain
98,Severnyy,RU,50.677,36.5532,77.04,47,0,11.18,clear sky
99,Itoman,JP,26.1247,127.6694,80.62,96,75,18.41,broken clouds
100,Presidente Dutra,BR,-5.29,-44.49,92.53,29,25,8.5,scattered clouds
101,Cururupu,BR,-1.8283,-44.8683,86.05,56,44,6.67,scattered clouds
102,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,60,28,10.94,scattered clouds
103,Carauari,BR,-4.8828,-66.8958,86.59,62,92,2.19,overcast clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,53,0,13.8,clear sky
105,Saint-Augustin,CA,51.226,-58.6502,56.77,69,91,8.68,overcast clouds
106,Katsuura,JP,35.1333,140.3,81.1,84,0,5.66,clear sky
107,Kapaa,US,22.0752,-159.319,77.11,75,37,3.0,light rain
108,Saint Anthony,US,45.0205,-93.218,83.25,67,40,1.99,scattered clouds
109,Egvekinot,RU,66.3167,-179.1667,44.22,98,100,2.21,moderate rain
110,Portland,US,45.5234,-122.6762,72.7,73,1,1.99,clear sky
111,Padang,ID,-0.9492,100.3543,78.51,86,78,3.4,broken clouds
112,Simpang Empat,MY,4.95,100.6333,85.96,85,63,2.24,broken clouds
113,Mnogovershinnyy,RU,53.9353,139.9242,68.77,75,76,3.24,broken clouds
114,Meiganga,CM,6.5167,14.3,71.92,91,69,5.17,moderate rain
